Comment,Designator,Footprint,LCSC Part #
0,R23,805,
0.1 uF,C1 C3 C14,603,
1 kOhm,R21,603,
1 uF,C2 C7,603,
1kOhm,R14 R16 R17 R18 R22,603,
1uF,C4 C5 C8 C10 C13,603,
2.2uF,C11,603,
2SC1623,VT1,SOT-23,
4.7k,R24 R25,603,
5.1 kOhm,R7 R11,603,
10uF,C9,603,
39,R3 R6 R8 R12,RES0603,
47k,R19,603,
82,R20,603,
150k,R10,603,
220 uF,C6,6.3X8,
470 kOhm,R1 R2 R4 R5 R9 R13 R15,603,
918-418K2023S40026,XS7,918-418K2023S40026,
150060RS75000,D1 D2 D3 D4,603,
BM02B-SRSS-TB,XS3 XS4 XS5,BM02B-SRSS-TB,
BM03B-SRSS-TB,XS1 XS2,BM03B-SRSS-TB,
DRV8837CDSGR,DD2,WSON-8,
HOLYIOT-18039,DD1,HOLYIOT-18039,
K2-1102SP-Z4SC-04,SA1,K2-1102SP-Z4SC-04,
MCQ1V2012-4R7-R,L1,805,
NPM1300,DD3,QFN32-5X5MM,
SD103CW-AQ,VD3 VD4 VD5,SOD-123F,
SMD-5025-0340-12Ω,BA1,SMD-5025-0340-12Ω,
