Designator,Mid X,Mid Y,Layer,Rotation
BA1,42.10,52.50,Top,0.0
C1,30.60,20.30,Top,90.0
C2,38.10,41.20,Top,90.0
C3,23.50,35.90,Top,180.0
C6,22.70,19.90,Top,0.0
C7,12.40,18.90,Top,180.0
C10,40.10,20.20,Top,0.0
C12,12.00,30.50,Top,180.0
C14,21.40,26.30,Top,270.0
D1,33.30,54.90,Top,270.0
D2,43.20,18.50,Top,270.0
D3,45.60,18.50,Top,270.0
D4,16.90,54.90,Top,90.0
DD1,35.10,30.40,Top,270.0
DD2,35.50,18.50,Top,90.0
DD3,12.80,26.70,Top,270.0
L1,17.60,19.90,Top,270.0
R1,35.30,43.00,Top,180.0
R2,42.50,44.90,Top,90.0
R3,43.20,14.60,Top,90.0
R4,41.30,44.90,Top,90.0
R5,39.70,44.90,Top,90.0
R6,45.60,14.50,Top,90.0
R7,28.00,58.00,Top,90.0
R8,33.30,51.60,Top,90.0
R9,32.50,44.90,Top,90.0
R11,21.00,58.00,Top,90.0
R12,24.10,55.60,Top,180.0
R13,35.30,44.60,Top,0.0
R14,42.50,41.30,Top,270.0
R15,39.70,17.80,Top,270.0
R16,39.40,41.20,Top,270.0
R17,32.50,42.10,Top,270.0
R18,38.00,19.40,Top,90.0
R20,39.60,47.60,Top,180.0
R21,36.10,41.10,Top,270.0
R22,41.30,41.10,Top,270.0
R23,10.10,24.40,Top,270.0
R24,12.30,23.60,Top,0.0
R25,15.70,25.90,Top,270.0
SA1,24.75, 4.07,Top,180.0
VD2,12.80,33.00,Top,270.0
VD3,36.50,52.30,Top,270.0
VD4,18.80,11.20,Top,90.0
VD5,40.60, 4.60,Top,90.0
VD6,10.00,31.90,Top,0.0
VD10,13.40,20.90,Top,0.0
VT1,35.90,48.20,Top,90.0
VT2,17.60,23.20,Top,180.0
VT3,14.50,16.80,Top,90.0
XS1,35.50, 6.50,Top,0.0
XS2,14.00, 6.50,Top,0.0
XS3,36.70,14.00,Top,0.0
XS4,14.00,14.00,Top,0.0
XS7,24.70,66.80,Top,0.0
